Qty;Value;Package;Parts;Description
1;;1X02;JP1;Through-hole pin header (VR1/2 Out)
2;;1X04;JP6, JP7;Through-hole pin header (BrickRPM)
48;;SMD1,27-2,54;ACC1, ACC2, ACCMON, AD1, AD2, AD3, AD4, ADB1, ADB2, ADB3, ADB4, BRV, CEL+, CEL-, IGN1, IGN2, IGN3, IGN4, INJ1, INJ2, INJ3, INJ4, INJMON, LD_RUN1, LD_RUN2, PA6, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8, PAD13, PAD14, PAD17, PAD18, PAD19, PAD20, PAD21, PAD22, PAD27, PAD28, PAD29, PAD30, PAD35, PAD36, SW1, SW2;SMD pin headers (pin count)
4;1uF;C0805;C1, C3, C5, C7;CAPACITOR, A/D bias inputs
9;0.1uF;C0805;C2, C4, C6, C8, C14, C16, C18, C20, C22;CAPACITOR, A/D channels
2;0.1uF;C1206;C11, C12;CAPACITOR, Power supply
5;0.22uF;C0805;C13, C15, C17, C19, C21;CAPACITOR, A/D non-biased inputs
2;15nF;C0805;C23, C24;CAPACITOR, GND monitors
2;1uF;C1206;C25, C26;CAPACITOR, MOSFET drivers
1;10uF;SMC_E;C9;POLARIZED CAPACITOR, Power supply
1;47uF;SMC_E;C10;POLARIZED CAPACITOR, Power supply
2;5k;411;R6, R8;RESISTOR, Shunt
4;100R;411;R52, R53, R54, R55;RESISTOR, Current limit
11;470R;R1206;R1, R3, R4, R5, R11, R13, R14, R15, R44, R50, R51;RESISTOR, A/D channels
10;100k;M0805;R22, R24, R26, R28, R30, R32, R37, R38, R39, R40;RESISTOR, Output pulldown
13;1k;M0805;R21, R23, R25, R27, R29, R31, R33, R34, R35, R36, R46, R47, R48;RESISTOR, Output limit, BRV, CEL/Load
4;1k;R0805;R9, R10, R56, R57;RESISTOR, BrickRPM hall mod
4;1k;R1206;R16, R18, R19, R20;RESISTOR, Switch inputs
4;2.49k;M0805;R2, R7, R12, R17;RESISTOR, A/D Bias
1;3.9k;M0805;R45;RESISTOR, BRV
1;2.4k;M0805;R49;RESISTOR, CEL
1;5.1V;P1Z12;D9;Z-Diode, Power supply 
2;4.7V;SOT23;D13, D14;Z-Diode, Switch inputs
13;BAT54S;SOT23;D1, D2, D3, D4, D5, D6, D7, D8, D10, D11, D12, D15, D16;Schottky Diodes, A/D channels
1;22-27-2041-04;6410-04;J1;CONNECTOR Molex, Power supply
2;5569-6;5569-6;X2, X3;4.20mm Pitch Mini-Fit Jr.™ - 6 pin
1;5569-8;5569-8;X1;4.20mm Pitch Mini-Fit Jr.™ - 8 pin
1;D0A-L;D02A-L;KK1;HEATSINK
1;LM2940;78XXL;IC3;VOLTAGE REGULATOR
2;RXE030;RXE030;R42, R43;POLYFUSE, Vref outputs
1;S14K11;S14K11;R41;VARISTOR, Power supply
2;TC442xA;SO08;IC1, IC2;Dual High-Speed Power MOSFET Drivers
6;VND14NV04;TO252 (DPAK);Q1, Q2, Q3, Q4, Q5, Q6;Fully autoprotected Power MOSFET
